2017-07-31 13:57:20,369 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14873731)
2017-07-31 13:57:20,417 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14888698)
2017-07-31 13:57:20,420 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14891266)
2017-07-31 13:57:20,436 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14865380)
2017-07-31 13:58:07,810 | DEBUG | HackerNewsDataAPI.Controllers.BestStoriesController | Request for GetBestStoriesAsync()
2017-07-31 13:58:09,234 | DEBUG | HackerNewsDataAPI.Controllers.BestStoriesController | Retrieved 200 records
2017-07-31 13:58:11,378 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14864183)
2017-07-31 13:58:11,680 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14875010)
2017-07-31 13:58:11,710 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14865380)
2017-07-31 13:58:11,710 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14888698)
2017-07-31 13:58:11,780 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14881318)
2017-07-31 13:58:11,817 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14881818)
2017-07-31 13:58:11,806 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14890887)
2017-07-31 13:58:11,817 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14873731)
2017-07-31 13:58:11,806 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14878244)
2017-07-31 14:03:58,204 | DEBUG | HackerNewsDataAPI.Controllers.BestStoriesController | Request for GetBestStoriesAsync()
2017-07-31 14:03:58,612 | DEBUG | HackerNewsDataAPI.Controllers.BestStoriesController | Retrieved 200 records
2017-07-31 14:04:03,339 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14861205)
2017-07-31 14:04:03,339 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14877342)
2017-07-31 14:04:03,339 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14859740)
2017-07-31 14:04:03,339 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14861925)
2017-07-31 14:04:03,339 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14887414)
2017-07-31 14:04:03,339 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14871127)
2017-07-31 14:04:03,339 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14866573)
2017-07-31 14:04:03,339 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14863580)
2017-07-31 14:04:03,339 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14885733)
2017-07-31 14:04:03,339 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14865112)
2017-07-31 14:04:03,340 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14880659)
2017-07-31 14:04:03,339 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14868033)
2017-07-31 14:04:03,339 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14884992)
2017-07-31 14:04:03,436 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14857492)
2017-07-31 14:04:03,437 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14856472)
2017-07-31 14:04:03,446 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14869138)
2017-07-31 14:04:03,447 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14882974)
2017-07-31 14:04:03,506 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14869716)
2017-07-31 14:04:03,550 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14874592)
2017-07-31 14:04:03,551 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14883699)
2017-07-31 14:04:03,571 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14859479)
2017-07-31 14:04:03,572 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14863272)
2017-07-31 14:04:03,604 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14866780)
2017-07-31 14:04:03,605 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14875407)
2017-07-31 14:04:03,631 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14856964)
2017-07-31 14:04:03,640 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14891266)
2017-07-31 14:04:03,648 | DEBUG | HackerNewsDataAPI.Controllers.ItemController | Request for GetItemAsync(14871918)
